DEBUG 2024-02-26 12:08:18,784 forms Cleaning Documento/folio_inicial 165r
DEBUG 2024-02-26 12:09:56,481 forms Proper cleaning of 165r and 165r
DEBUG 2024-02-26 12:31:37,331 forms folios 164r y 164r validados
DEBUG 2024-02-26 12:31:37,331 forms validando None
DEBUG 2024-02-26 12:38:09,217 forms Cleaning Documento/fecha_inicial 1685
DEBUG 2024-02-26 12:38:09,220 forms Fecha inicial cleaned 1685-01-01
DEBUG 2024-02-26 12:38:09,221 forms folios 164r y 164r validados
DEBUG 2024-02-26 12:38:09,221 forms validando 1685-01-01
DEBUG 2024-02-26 12:39:16,498 forms Cleaning Documento/fecha_inicial 1685-05
DEBUG 2024-02-26 12:39:16,499 forms Fecha inicial cleaned 1685-05-01
DEBUG 2024-02-26 12:39:16,500 forms folios 1r y 1r validados
DEBUG 2024-02-26 12:39:16,500 forms validando 1685-05-01
DEBUG 2024-02-26 12:39:52,187 forms Cleaning Documento/fecha_inicial 1685
DEBUG 2024-02-26 12:39:52,187 forms Fecha inicial cleaned 1685-01-01
DEBUG 2024-02-26 12:39:52,188 forms folios 1r y 1r validados
DEBUG 2024-02-26 12:39:52,188 forms validando 1685-01-01
DEBUG 2024-02-26 12:43:27,577 forms Cleaning Documento/fecha_inicial 1685
DEBUG 2024-02-26 12:43:27,580 forms Fecha inicial cleaned 1685-01-01
DEBUG 2024-02-26 12:43:27,581 forms Cleaning Documento/fecha_final 1685-06
DEBUG 2024-02-26 12:43:27,582 forms Fecha inicial cleaned 1685-06-01
DEBUG 2024-02-26 12:43:27,583 forms folios 1r y 1r validados
DEBUG 2024-02-26 12:43:27,583 forms validando 1685-01-01
DEBUG 2024-02-26 12:50:51,479 forms Cleaning Documento/fecha_inicial 1685-12
DEBUG 2024-02-26 12:50:51,480 forms Fecha inicial cleaned 1685-12-01
DEBUG 2024-02-26 12:50:51,480 forms Cleaning Documento/fecha_final 1685-11
DEBUG 2024-02-26 12:50:51,480 forms Fecha inicial cleaned 1685-11-01
DEBUG 2024-02-26 12:50:51,481 forms folios 12r y 26v validados
DEBUG 2024-02-26 12:50:51,481 forms validando 1685-12-01
DEBUG 2024-02-26 12:52:28,149 forms Cleaning Documento/fecha_inicial 1681-05
DEBUG 2024-02-26 12:52:28,150 forms Fecha inicial cleaned 1681-05-01
DEBUG 2024-02-26 12:52:28,151 forms Cleaning Documento/fecha_final 1680-01
DEBUG 2024-02-26 12:52:28,151 forms Fecha inicial cleaned 1680-01-01
DEBUG 2024-02-26 12:52:28,152 forms folios 11111r y 11111r validados
DEBUG 2024-02-26 12:52:28,152 forms validando 1681-05-01
DEBUG 2024-02-26 12:53:57,237 forms Cleaning Documento/fecha_inicial 1681-05
DEBUG 2024-02-26 12:53:57,245 forms Fecha inicial cleaned 1681-05-01
DEBUG 2024-02-26 12:53:57,245 forms Cleaning Documento/fecha_final 1680-01
DEBUG 2024-02-26 12:53:57,245 forms Fecha inicial cleaned 1680-01-01
DEBUG 2024-02-26 12:53:57,247 forms folios 1r y 1r validados
DEBUG 2024-02-26 12:53:57,247 forms validando si 1680-01-01 existe
DEBUG 2024-02-26 12:53:57,247 forms validando 1681-05-01
DEBUG 2024-02-26 12:53:57,248 forms validando 1680-01-01
WARNING 2024-02-26 12:53:57,248 forms ['La fecha final 1680-01-01 no puede estar en el pasado de la fecha inicial 1681-05-01']
DEBUG 2024-02-26 13:04:50,715 forms Cleaning Documento/fecha_inicial 1681-05
DEBUG 2024-02-26 13:04:50,718 forms Fecha inicial cleaned 1681-05-01
DEBUG 2024-02-26 13:04:50,718 forms Cleaning Documento/fecha_final 1680-01
DEBUG 2024-02-26 13:04:50,719 forms Fecha inicial cleaned 1680-01-01
DEBUG 2024-02-26 13:04:50,719 forms folios 1r y 1r validados
DEBUG 2024-02-26 13:04:50,720 forms validando si 1680-01-01 existe
DEBUG 2024-02-26 13:04:50,720 forms validando 1681-05-01
DEBUG 2024-02-26 13:04:50,720 forms validando 1680-01-01
WARNING 2024-02-26 13:04:50,720 forms ['La fecha final 1680-01-01 no puede estar en el pasado de la fecha inicial 1681-05-01']
DEBUG 2024-02-26 13:05:51,981 forms Cleaning Documento/fecha_inicial 1681-05
DEBUG 2024-02-26 13:05:51,985 forms Fecha inicial cleaned 1681-05-01
DEBUG 2024-02-26 13:05:51,985 forms Cleaning Documento/fecha_final 1680-01
DEBUG 2024-02-26 13:05:51,985 forms Fecha inicial cleaned 1680-01-01
DEBUG 2024-02-26 13:05:51,987 forms folios 1r y 1r validados
DEBUG 2024-02-26 13:05:51,988 forms validando si 1680-01-01 existe
DEBUG 2024-02-26 13:05:51,988 forms validando 1681-05-01
DEBUG 2024-02-26 13:05:51,989 forms validando 1680-01-01
WARNING 2024-02-26 13:05:51,990 forms ['La fecha final 1680-01-01 no puede estar en el pasado de la fecha inicial 1681-05-01']
DEBUG 2024-02-26 13:06:20,737 forms Cleaning Documento/fecha_inicial 1681-05
DEBUG 2024-02-26 13:06:20,737 forms Fecha inicial cleaned 1681-05-01
DEBUG 2024-02-26 13:06:20,738 forms Cleaning Documento/fecha_final 1680-01
DEBUG 2024-02-26 13:06:20,738 forms Fecha inicial cleaned 1680-01-01
DEBUG 2024-02-26 13:06:20,739 forms folios 1r y 1r validados
DEBUG 2024-02-26 13:06:20,739 forms validando si 1680-01-01 existe
DEBUG 2024-02-26 13:06:20,739 forms validando 1681-05-01
DEBUG 2024-02-26 13:06:20,740 forms validando 1680-01-01
WARNING 2024-02-26 13:06:20,741 forms ['La fecha final 1680-01-01 no puede estar en el pasado de la fecha inicial 1681-05-01']
DEBUG 2024-02-26 13:06:35,008 forms Cleaning Documento/fecha_inicial 1681-05
DEBUG 2024-02-26 13:06:35,012 forms Fecha inicial cleaned 1681-05-01
DEBUG 2024-02-26 13:06:35,013 forms Cleaning Documento/fecha_final 1680-01
DEBUG 2024-02-26 13:06:35,013 forms Fecha inicial cleaned 1680-01-01
DEBUG 2024-02-26 13:06:35,014 forms folios 1r y 1r validados
DEBUG 2024-02-26 13:06:35,014 forms validando si 1680-01-01 existe
DEBUG 2024-02-26 13:06:35,014 forms validando 1681-05-01
DEBUG 2024-02-26 13:06:35,014 forms validando 1680-01-01
WARNING 2024-02-26 13:06:35,014 forms ['La fecha final 1680-01-01 no puede estar en el pasado de la fecha inicial 1681-05-01']
DEBUG 2024-02-26 13:08:44,576 forms Cleaning Documento/fecha_inicial 1681-05
DEBUG 2024-02-26 13:08:44,580 forms Fecha inicial cleaned 1681-05-01
DEBUG 2024-02-26 13:08:44,582 forms Cleaning Documento/fecha_final 1680-01
DEBUG 2024-02-26 13:08:44,583 forms Fecha inicial cleaned 1680-01-01
DEBUG 2024-02-26 13:08:44,586 forms folios 1r y 1r validados
DEBUG 2024-02-26 13:08:44,586 forms validando si 1680-01-01 existe
DEBUG 2024-02-26 13:08:44,587 forms validando 1681-05-01
DEBUG 2024-02-26 13:08:44,587 forms validando 1680-01-01
WARNING 2024-02-26 13:08:44,588 forms ['La fecha final 1680-01-01 no puede estar en el pasado de la fecha inicial 1681-05-01']
DEBUG 2024-02-26 13:09:25,020 forms Cleaning Documento/fecha_inicial 1681-05
DEBUG 2024-02-26 13:09:25,023 forms Fecha inicial cleaned 1681-05-01
DEBUG 2024-02-26 13:09:25,024 forms Cleaning Documento/fecha_final 1680-01
DEBUG 2024-02-26 13:09:25,024 forms Fecha inicial cleaned 1680-01-01
DEBUG 2024-02-26 13:09:25,025 forms folios 1r y 1r validados
DEBUG 2024-02-26 13:09:25,026 forms validando si 1680-01-01 existe
DEBUG 2024-02-26 13:09:25,026 forms validando 1681-05-01
DEBUG 2024-02-26 13:09:25,026 forms validando 1680-01-01
WARNING 2024-02-26 13:09:25,026 forms ['La fecha final 1680-01-01 no puede estar en el pasado de la fecha inicial 1681-05-01']
DEBUG 2024-02-26 13:12:00,002 forms Cleaning Documento/fecha_inicial 1681-05
DEBUG 2024-02-26 13:12:00,007 forms Fecha inicial cleaned 1681-05-01
DEBUG 2024-02-26 13:12:00,007 forms Cleaning Documento/fecha_final 1680-01
DEBUG 2024-02-26 13:12:00,008 forms Fecha inicial cleaned 1680-01-01
DEBUG 2024-02-26 13:12:00,009 forms folios 1r y None validados
DEBUG 2024-02-26 13:12:00,010 forms validando si 1680-01-01 existe
DEBUG 2024-02-26 13:12:00,010 forms validando 1681-05-01
DEBUG 2024-02-26 13:12:00,010 forms validando 1680-01-01
WARNING 2024-02-26 13:12:00,010 forms ['La fecha final 1680-01-01 no puede estar en el pasado de la fecha inicial 1681-05-01']
DEBUG 2024-02-26 13:12:45,233 forms Cleaning Documento/fecha_inicial 1681-05
DEBUG 2024-02-26 13:12:45,238 forms Fecha inicial cleaned 1681-05-01
DEBUG 2024-02-26 13:12:45,238 forms Cleaning Documento/fecha_final 1680-01
DEBUG 2024-02-26 13:12:45,239 forms Fecha inicial cleaned 1680-01-01
DEBUG 2024-02-26 13:12:45,240 forms folios 1r y None validados
DEBUG 2024-02-26 13:12:45,241 forms validando si 1680-01-01 existe
DEBUG 2024-02-26 13:12:45,243 forms validando 1681-05-01
DEBUG 2024-02-26 13:12:45,243 forms validando 1680-01-01
WARNING 2024-02-26 13:12:45,243 forms ['La fecha final 1680-01-01 no puede estar en el pasado de la fecha inicial 1681-05-01']
DEBUG 2024-02-26 13:13:14,639 forms Cleaning Documento/fecha_inicial 1681-05
DEBUG 2024-02-26 13:13:14,643 forms Fecha inicial cleaned 1681-05-01
DEBUG 2024-02-26 13:13:14,644 forms Cleaning Documento/fecha_final 1680-01
DEBUG 2024-02-26 13:13:14,644 forms Fecha inicial cleaned 1680-01-01
DEBUG 2024-02-26 13:13:14,645 forms folios 1r y 1r validados
DEBUG 2024-02-26 13:13:14,646 forms validando si 1680-01-01 existe
DEBUG 2024-02-26 13:13:14,646 forms validando 1681-05-01
DEBUG 2024-02-26 13:13:14,646 forms validando 1680-01-01
WARNING 2024-02-26 13:13:14,646 forms ['La fecha final 1680-01-01 no puede estar en el pasado de la fecha inicial 1681-05-01']
DEBUG 2024-02-26 13:14:23,254 forms Cleaning Documento/fecha_inicial 1685-12
DEBUG 2024-02-26 13:14:23,256 forms Fecha inicial cleaned 1685-12-01
DEBUG 2024-02-26 13:14:23,256 forms Cleaning Documento/fecha_final 
DEBUG 2024-02-26 13:14:23,261 forms folios 1r y 1r validados
DEBUG 2024-02-26 13:14:23,261 forms validando si None existe
DEBUG 2024-02-26 13:14:23,261 forms validando 1685-12-01
DEBUG 2024-02-26 13:18:29,923 forms Cleaning Documento/fecha_inicial 1685-12
DEBUG 2024-02-26 13:18:29,928 forms Fecha inicial cleaned 1685-12-01
DEBUG 2024-02-26 13:18:29,928 forms Cleaning Documento/fecha_final 
DEBUG 2024-02-26 13:18:29,929 forms folios 1r y 1r validados
DEBUG 2024-02-26 13:18:29,929 forms validando si  existe
DEBUG 2024-02-26 13:18:29,929 forms validando 1685-12-01
DEBUG 2024-02-26 13:20:15,258 forms Cleaning Documento/fecha_inicial 1685-12
DEBUG 2024-02-26 13:20:15,262 forms Fecha inicial cleaned 1685-12-01
DEBUG 2024-02-26 13:20:15,262 forms Cleaning Documento/fecha_final 
DEBUG 2024-02-26 13:20:15,263 forms folios 1r y 1r validados
DEBUG 2024-02-26 13:20:15,263 forms validando si  existe
DEBUG 2024-02-26 13:20:15,264 forms validando 1685-12-01
DEBUG 2024-02-26 13:21:05,440 forms Cleaning Documento/fecha_inicial 1685-12
DEBUG 2024-02-26 13:21:05,445 forms Fecha inicial cleaned 1685-12-01
DEBUG 2024-02-26 13:21:05,445 forms Cleaning Documento/fecha_final 
DEBUG 2024-02-26 13:21:05,447 forms folios 1r y 1r validados
DEBUG 2024-02-26 13:21:05,447 forms validando si  existe
DEBUG 2024-02-26 13:21:05,447 forms validando 1685-12-01
DEBUG 2024-02-26 13:22:09,895 forms Cleaning Documento/fecha_inicial 1685-12
DEBUG 2024-02-26 13:22:09,901 forms Fecha inicial cleaned 1685-12-01
DEBUG 2024-02-26 13:22:09,901 forms Cleaning Documento/fecha_final ""
DEBUG 2024-02-26 13:22:09,902 forms folios 1r y 1r validados
DEBUG 2024-02-26 13:22:09,903 forms validando si  existe
DEBUG 2024-02-26 13:22:09,903 forms validando 1685-12-01
DEBUG 2024-02-26 13:22:51,320 forms Cleaning Documento/fecha_inicial 1685-12
DEBUG 2024-02-26 13:22:51,324 forms Fecha inicial cleaned 1685-12-01
DEBUG 2024-02-26 13:22:51,324 forms Cleaning Documento/fecha_final ""
DEBUG 2024-02-26 13:22:51,325 forms folios 1r y 1r validados
DEBUG 2024-02-26 13:22:51,326 forms validando si 1685-12-01 existe
DEBUG 2024-02-26 13:22:51,326 forms validando 1685-12-01
DEBUG 2024-02-26 13:22:51,326 forms validando 1685-12-01
DEBUG 2024-02-26 13:54:17,313 forms Cleaning Documento/fecha_inicial 1800
DEBUG 2024-02-26 13:54:17,317 forms Fecha inicial cleaned 1800-01-01
DEBUG 2024-02-26 13:54:17,318 forms Cleaning Documento/fecha_final "1801"
DEBUG 2024-02-26 13:54:17,318 forms Fecha final cleaned 1801-01-01
DEBUG 2024-02-26 13:54:17,319 forms folios 1r y 1r validados
DEBUG 2024-02-26 13:54:17,319 forms validando si 1801-01-01 existe
DEBUG 2024-02-26 13:54:17,320 forms validando 1800-01-01
DEBUG 2024-02-26 13:54:17,320 forms validando 1801-01-01
DEBUG 2024-02-26 15:01:48,413 forms documento_idno
DEBUG 2024-02-26 15:01:48,414 forms archivo
DEBUG 2024-02-26 15:01:48,414 forms fondo
DEBUG 2024-02-26 15:01:48,414 forms subfondo
DEBUG 2024-02-26 15:01:48,414 forms serie
DEBUG 2024-02-26 15:01:48,415 forms subserie
DEBUG 2024-02-26 15:01:48,415 forms tipo_udc
DEBUG 2024-02-26 15:01:48,415 forms unidad_documental_compuesta
DEBUG 2024-02-26 15:01:48,415 forms tipo_documento
DEBUG 2024-02-26 15:01:48,415 forms sigla_documento
DEBUG 2024-02-26 15:01:48,415 forms titulo
DEBUG 2024-02-26 15:01:48,416 forms descripcion
DEBUG 2024-02-26 15:01:48,416 forms fecha_inicial
DEBUG 2024-02-26 15:01:48,416 forms fecha_inicial_aproximada
DEBUG 2024-02-26 15:01:48,416 forms fecha_final
DEBUG 2024-02-26 15:01:48,416 forms fecha_final_aproximada
DEBUG 2024-02-26 15:01:48,417 forms lugar_de_produccion
DEBUG 2024-02-26 15:01:48,417 forms folio_inicial
DEBUG 2024-02-26 15:01:48,417 forms folio_final
DEBUG 2024-02-26 15:01:48,417 forms evento_valor_sp
DEBUG 2024-02-26 15:01:48,417 forms evento_forma_de_pago
DEBUG 2024-02-26 15:01:48,417 forms evento_total
DEBUG 2024-02-26 15:03:51,499 forms <django.forms.fields.CharField object at 0x7faab82d49d0>
DEBUG 2024-02-26 15:03:51,500 forms <django.forms.models.ModelChoiceField object at 0x7faab82d49a0>
DEBUG 2024-02-26 15:03:51,500 forms <django.forms.fields.CharField object at 0x7faab82d4a00>
DEBUG 2024-02-26 15:03:51,500 forms <django.forms.fields.CharField object at 0x7faab82d4940>
DEBUG 2024-02-26 15:03:51,501 forms <django.forms.fields.CharField object at 0x7faab82d4730>
DEBUG 2024-02-26 15:03:51,501 forms <django.forms.fields.CharField object at 0x7faab82d46d0>
DEBUG 2024-02-26 15:03:51,501 forms <django.forms.fields.TypedChoiceField object at 0x7faab82d4670>
DEBUG 2024-02-26 15:03:51,501 forms <django.forms.fields.CharField object at 0x7faab82d4ac0>
DEBUG 2024-02-26 15:03:51,501 forms <django.forms.models.ModelChoiceField object at 0x7faab82d4580>
DEBUG 2024-02-26 15:03:51,502 forms <django.forms.fields.CharField object at 0x7faab82d4880>
DEBUG 2024-02-26 15:03:51,502 forms <django.forms.fields.CharField object at 0x7faab82d4520>
DEBUG 2024-02-26 15:03:51,502 forms <django.forms.fields.CharField object at 0x7faab82d4340>
DEBUG 2024-02-26 15:03:51,502 forms <django.forms.fields.CharField object at 0x7faab82d42b0>
DEBUG 2024-02-26 15:03:51,502 forms <django.forms.fields.NullBooleanField object at 0x7faab82d4250>
DEBUG 2024-02-26 15:03:51,503 forms <django.forms.fields.CharField object at 0x7faab82d41c0>
DEBUG 2024-02-26 15:03:51,504 forms <django.forms.fields.NullBooleanField object at 0x7faab82d4160>
DEBUG 2024-02-26 15:03:51,504 forms <django.forms.models.ModelChoiceField object at 0x7faab82d40d0>
DEBUG 2024-02-26 15:03:51,504 forms <django.forms.fields.CharField object at 0x7faab82d4040>
DEBUG 2024-02-26 15:03:51,504 forms <django.forms.fields.CharField object at 0x7faab82cdc00>
DEBUG 2024-02-26 15:03:51,505 forms <django.forms.fields.CharField object at 0x7faab82cdfc0>
DEBUG 2024-02-26 15:03:51,505 forms <django.forms.fields.CharField object at 0x7faab82ce320>
DEBUG 2024-02-26 15:03:51,505 forms <django.forms.fields.CharField object at 0x7faab82ce380>
DEBUG 2024-02-26 19:50:44,684 forms LugarForm save method called.
DEBUG 2024-02-26 20:17:44,138 forms LugarForm save method called.
DEBUG 2024-02-26 20:51:28,079 forms LugarForm save method called.
